Unified Title,Grant Link,Agency,Deadline,Reunión Pre Subasta,Acto de Apertura,Tipo de Solicitud,Fecha de Publicación,Estado,Unified Description
Veterans Cemetery Grants,https://grants.gov/search-results-detail/358437,VA-NCA,07/01/2025,,,,,,This grant program provides funds for the maintenance and improvement of veterans’ cemeteries to ensure dignified final resting places.
Veterans Affairs Supportive Services for Veteran Families,https://grants.gov/search-results-detail/357788,VA-SSVF,03/03/2025,,,,,,"This initiative offers supportive services to veteran families, enhancing access to resources and improving overall well-being."
FY 2023 Disaster Supplemental,https://grants.gov/search-results-detail/347414,DOC-EDA,no data,,,,,,This supplemental funding proposal addresses emergency response and recovery needs for communities impacted by disasters in FY 2023.
Outdoor Recreation Legacy Partnership Program (ORLP) Recurring Notice 5 Year,https://grants.gov/search-results-detail/357672,DOI-NPS,11/01/2029,,,,,,This program supports long-term partnerships aimed at advancing outdoor recreation projects and preserving natural resources over five years.
Special Technology Development Program,https://grants.gov/search-results-detail/342444,USDA-FS,no data,,,,,,This proposal funds the development of innovative technologies designed to solve specialized challenges across various sectors.
"Homeless Veterans’ Reintegration Program (HVRP), Incarcerated Veterans’ Transition Program (IVTP), and the Homeless Women Veterans' and Homeless Veterans' with Children Reintegration Grant Program (HWVHVWC)",https://grants.gov/search-results-detail/356463,DOL-VETS,03/17/2025,,,,,,This comprehensive initiative supports the reintegration of homeless and transitioning veterans by providing tailored services to improve their stability and access to care.
NIST MEP Disaster Assessment Program,https://grants.gov/search-results-detail/323740,DOC-NIST,no data,,,,,,"This project funds disaster assessment activities through NIST’s Manufacturing Extension Partnership, aiming to enhance preparedness and recovery."
F25AS00099_FY 2025 Competitive State Wildlife Grant (C-SWG) Program_Funding Opportunity Announcement,https://grants.gov/search-results-detail/357128,DOI-FWS,02/25/2025,,,,,,This announcement invites competitive grants to support state wildlife conservation and management initiatives.
High Energy Cost Grants,https://grants.gov/search-results-detail/357929,USDA-RUS,02/28/2025,,,,,,This proposal offers grants to help offset high energy costs in areas facing significant energy affordability challenges.
Calendar Year 2022 Disaster Water Grants,https://grants.gov/search-results-detail/348809,USDA-RUS,no data,,,,,,This initiative provides funds for water infrastructure repair and improvement in communities affected by disasters in 2022.
Scholarships for Disadvantaged Students,https://grants.gov/search-results-detail/355780,HHS-HRSA,02/19/2025,,,,,,"This program awards scholarships to support disadvantaged students, helping improve access to higher education and career opportunities."
F25AS00223 FY 2025 Prescott Marine Mammal Rescue and Response Grant Program,https://grants.gov/search-results-detail/358149,DOI-FWS,03/14/2025,,,,,,"This grant supports rescue and response operations for marine mammals in the Prescott region, enhancing wildlife conservation efforts."
F25AS00184 FY 2025 Cooperative Endangered Species Conservation Fund: Conservation Planning Assistance,https://grants.gov/search-results-detail/357649,DOI-FWS,03/14/2025,,,,,,This proposal funds cooperative planning efforts aimed at conserving endangered species through strategic conservation initiatives.
FY2025 Young Fishermen’s Career Development Projects,https://grants.gov/search-results-detail/357450,DOC-DOCNOAAERA,04/23/2025,,,,,,This initiative provides funding for career development and training programs to support young fishermen and strengthen the fishing industry.
"University Centers for Excellence in Developmental Disabilities Education, Research and Service",https://grants.gov/search-results-detail/355839,HHS-ACL,02/24/2025,,,,,,"This proposal supports the establishment and expansion of university centers dedicated to advancing education, research, and services for developmental disabilities."
National Telehealth Resource Center program,https://grants.gov/search-results-detail/355858,HHS-HRSA,04/14/2025,,,,,,This program provides resources and technical assistance to expand telehealth services and improve access to healthcare across the nation.
Regional Telehealth Resource Centers,https://grants.gov/search-results-detail/355857,HHS-HRSA,04/14/2025,,,,,,This initiative aims to establish regional centers that provide tailored telehealth support and improve local healthcare delivery.
Strengthening Vaccine-Preventable Disease Prevention and Response,https://grants.gov/search-results-detail/355911,HHS-CDC-NCIRD,03/13/2025,,,,,,"This proposal focuses on enhancing strategies to prevent and respond to vaccine-preventable diseases, thereby improving public health."
Community Connect Grant Program,https://grants.gov/search-results-detail/358143,USDA-RUS,04/21/2025,,,,,,"This program funds projects that enhance community connectivity and access to essential services, promoting overall community resilience."
F25AS00228 Candidate Species Conservation Fund,https://grants.gov/search-results-detail/358355,DOI-FWS,09/30/2025,,,,,,"This grant supports conservation efforts for species under consideration for endangered status, aiming to protect biodiversity."
Ryan White HIV/AIDS Program Part F Dental Reimbursement Program (DRP),https://grants.gov/search-results-detail/354781,HHS-HRSA,03/18/2025,,,,,,"This initiative provides funding for dental care reimbursement under the Ryan White HIV/AIDS Program, improving access to essential dental services."
FY2025 ABPP - Preservation Planning Grants,https://grants.gov/search-results-detail/357990,DOI-NPS,03/31/2025,,,,,,This proposal funds planning grants to support the preservation of historic and culturally significant sites.
Public Education for Living Organ Donation Reimbursement Program (PE-LODRP),https://grants.gov/search-results-detail/355748,HHS-HRSA,04/18/2025,,,,,,This program aims to educate the public about living organ donation and facilitate reimbursement for associated expenses.
Living Organ Donation Reimbursement Program (LODRP),https://grants.gov/search-results-detail/355747,HHS-HRSA,04/18/2025,,,,,,"This initiative offers financial reimbursement for living organ donation expenses, encouraging donation and supporting transplant patients."
Rural Residency Planning and Development (RRPD) program,https://grants.gov/search-results-detail/355357,HHS-HRSA,04/10/2025,,,,,,This proposal supports planning and development initiatives to improve residency training programs in rural healthcare settings.
Rural Decentralized Water System Grant Program,https://grants.gov/search-results-detail/357913,USDA-RUS,03/03/2025,,,,,,"This program provides grants to develop or improve decentralized water systems in rural communities, ensuring safe and reliable water supply."
Delta Health Systems Implementation Program,https://grants.gov/search-results-detail/357868,HHS-HRSA,03/20/2025,,,,,,This initiative funds the implementation of improved health systems in the Delta region to enhance healthcare delivery and infrastructure.
Rural Healthcare Provider Transition Project,https://grants.gov/search-results-detail/355365,HHS-HRSA,04/14/2025,,,,,,This proposal supports projects that help rural healthcare providers transition to new technologies and models of care.
Ryan White HIV/AIDS Program (RWHAP) Web-Based Platform for HIV Tools and Resources,https://grants.gov/search-results-detail/354791,HHS-HRSA,03/18/2025,,,,,,This project funds the creation of a web platform that offers tools and resources to support HIV care and program management.
Office of Special Programs (OSEP): Training and Information for Parents of Children with Disabilities: Parent Training and Information Centers CFDA Number 84.328M,https://grants.gov/search-results-detail/357739,ED,03/03/2025,,,,,,This initiative funds training centers to provide essential information and support to parents of children with disabilities.
U.S. Army STEM Education Consortium (ASEC) Cooperative Agreement,https://grants.gov/search-results-detail/358240,DOD-AMC-ACCAPGE,03/14/2025,,,,,,This proposal supports cooperative agreements aimed at enhancing STEM education initiatives within the Army community.
Local Food for Schools and Child Care Cooperative Agreement Program (LFSCC),https://grants.gov/search-results-detail/357532,USDA-AMS,04/30/2025,,,,,,This program provides funding for cooperative agreements to increase access to locally sourced food in schools and child care centers.
"State Apprenticeship Expansion Formula, Round 3 (SAEF3)",https://grants.gov/search-results-detail/358101,DOL-ETA,03/18/2025,,,,,,"This initiative allocates funding to expand state apprenticeship programs, supporting workforce development and skills training."
Local Food Purchase Assistance Cooperative Agreement Program (LFPA25),https://grants.gov/search-results-detail/357448,USDA-AMS,04/30/2025,,,,,,This proposal offers financial assistance for local food purchases to support community food systems and local agriculture.
Bison Production and Marketing Grant Program,https://grants.gov/search-results-detail/358257,USDA-AMS,03/26/2025,,,,,,"This grant program supports bison production and marketing efforts, promoting sustainable livestock practices and rural economic development."
National Center on Child Maltreatment Fatality Data Practices and Reporting,https://grants.gov/search-results-detail/355699,HHS-ACF-CB,03/19/2025,,,,,,This proposal aims to improve data practices and reporting for child maltreatment fatalities to better inform prevention and intervention strategies.
Nursing Workforce Diversity (NWD) Program,https://grants.gov/search-results-detail/355776,HHS-HRSA,03/18/2025,,,,,,"This initiative seeks to enhance diversity in the nursing workforce through targeted recruitment, training, and support initiatives."
Healthy Tomorrows Partnership for Children Program (HTPCP),https://grants.gov/search-results-detail/355629,HHS-HRSA,03/17/2025,,,,,,This program aims to forge partnerships that improve health outcomes for children by expanding access to quality healthcare services.
Behavioral Health Workforce Development Technical Assistance Program,https://grants.gov/search-results-detail/355782,HHS-HRSA,03/03/2025,,,,,,This proposal provides technical assistance and resources to develop a robust behavioral health workforce.
Delta Region Community Health Systems Development Program,https://grants.gov/search-results-detail/355363,HHS-HRSA,03/18/2025,,,,,,This project supports the development and improvement of community health systems in the Delta region to enhance healthcare access.
Rural Communities Opioid Response Program – Pathways,https://grants.gov/search-results-detail/358167,HHS-HRSA,04/14/2025,,,,,,This initiative funds innovative approaches to address opioid challenges in rural communities by establishing clear pathways for intervention.
Rural Communities Opioid Response Program-Overdose Response,https://grants.gov/search-results-detail/355360,HHS-HRSA,03/10/2025,,,,,,This proposal focuses on strategies for effective overdose response in rural areas to reduce opioid-related fatalities.
Public Health Crisis Response Cooperative Agreement,https://grants.gov/search-results-detail/337086,HHS-CDC-OPHPR,02/11/2027,,,,,,"This agreement funds collaborative public health responses to crises, enhancing community resilience and emergency preparedness."
Distance Learning and Telemedicine Grants,https://grants.gov/search-results-detail/358016,USDA-RUS,03/06/2025,,,,,,This initiative supports projects that implement distance learning and telemedicine solutions to improve access to education and healthcare.
USAID/Haiti Financing Climate Resilient Sanitation Systems and Services,https://grants.gov/search-results-detail/338293,USAID-HAI,no data,,,,,,"This project aims to finance the development of climate-resilient sanitation systems in Haiti, enhancing public health and environmental sustainability."
FY2025 NMFS-Sea Grant Fellowship in Population and Ecosystem Dynamics and Marine Resource Economics,https://grants.gov/search-results-detail/357167,DOC-DOCNOAAERA,03/13/2025,,,,,,This fellowship supports research in marine resource economics and ecosystem dynamics to advance sea grant initiatives.
FY25 Ruth D. Gates Coral Reef Conservation Grants - Fishery Management Council Cooperative Agreements,https://grants.gov/search-results-detail/357926,DOC-DOCNOAAERA,02/25/2025,,,,,,This proposal funds cooperative agreements to support coral reef conservation in partnership with fishery management councils.
Rural Health Network Development Planning Program,https://grants.gov/search-results-detail/355367,HHS-HRSA,02/19/2025,,,,,,This program supports planning and development of rural health networks to improve healthcare delivery in underserved areas.
Nurse Faculty Loan Program (NFLP),https://grants.gov/search-results-detail/355774,HHS-HRSA,02/24/2025,,,,,,This initiative provides loan repayment and support for nurse educators to strengthen nursing education programs.
Primary Care Training and Enhancement—Residency Training in Street Medicine (PCTE-RTSM),https://grants.gov/search-results-detail/355781,HHS-HRSA,03/20/2025,,,,,,This proposal enhances residency training in street medicine to improve primary care for underserved populations.
Rural Communities Opioid Response Program – Northern Border Rural Workforce,https://grants.gov/search-results-detail/358145,HHS-HRSA,04/11/2025,,,,,,This project aims to build a skilled rural workforce to address opioid-related challenges along the northern border.
Rural Residency Planning and Development Technical Assistance (RRPD-TA) Program,https://grants.gov/search-results-detail/355375,HHS-HRSA,03/18/2025,,,,,,This initiative provides technical assistance for improving residency planning and development in rural healthcare settings.
NIST MEP Competitive Awards Program,https://grants.gov/search-results-detail/330597,DOC-NIST,no data,,,,,,This program awards competitive grants to drive innovation and excellence in manufacturing through NIST’s Manufacturing Extension Partnership.
"FY 2024 – 2026 Broad Agency Announcement (BAA), Office of Oceanic and Atmospheric Research (OAR)",https://grants.gov/search-results-detail/356669,DOC-DOCNOAAERA,09/30/2026,,,,,,This announcement invites proposals for research in oceanic and atmospheric sciences to support long-term environmental studies over multiple years.
FY 2024 – 2026 - Broad Agency Announcement (BAA) Announcement Type: Initial,https://grants.gov/search-results-detail/356127,DOC-DOCNOAAERA,09/30/2026,,,,,,This initial announcement seeks broad research proposals in oceanic and atmospheric sciences as part of a multi-year funding cycle.
Connecting Kids to Coverage Outreach and Enrollment Cooperative Agreements (CKC) 2025,https://grants.gov/search-results-detail/357700,HHS-CMS,03/07/2025,,,,,,This initiative funds cooperative agreements designed to improve outreach and enrollment in health coverage for children.
Maternal and Child Health Research Consortium (MCH RC),https://grants.gov/search-results-detail/355630,HHS-HRSA,04/23/2025,,,,,,"This proposal supports a consortium dedicated to advancing research, education, and services in maternal and child health."
Street Medicine Interventions for People with HIV who are Unsheltered - Demonstration Sites,https://grants.gov/search-results-detail/354785,HHS-HRSA,03/11/2025,,,,,,This project funds demonstration sites to test street medicine interventions for unsheltered individuals living with HIV.
Ryan White HIV/AIDS Program Part C Capacity Development Program,https://grants.gov/search-results-detail/354779,HHS-HRSA,03/18/2025,,,,,,This initiative supports capacity development efforts to enhance HIV/AIDS service delivery and program management.
"Sea Grant Programs Only - FY2025 Aquaculture Legal, Regulatory, and Policy Grants",https://grants.gov/search-results-detail/357311,DOC-DOCNOAAERA,02/26/2025,,,,,,"This proposal funds legal, regulatory, and policy research grants to support the aquaculture industry under Sea Grant programs."
Telehealth Research Center,https://grants.gov/search-results-detail/355860,HHS-HRSA,04/15/2025,,,,,,This project supports research into telehealth technologies and practices to enhance remote healthcare delivery.
Telehealth Rapid Response Center,https://grants.gov/search-results-detail/355859,HHS-HRSA,04/15/2025,,,,,,This initiative funds the establishment of a rapid response center to boost telehealth services during emergencies.
Rural Program of All-Inclusive Care for the Elderly (PACE) Planning and Development,https://grants.gov/search-results-detail/358301,HHS-HRSA,04/17/2025,,,,,,This proposal supports planning and development of comprehensive care programs for the elderly in rural communities.
Autism Research Consortium (Autism RC),https://grants.gov/search-results-detail/355631,HHS-HRSA,04/23/2025,,,,,,This initiative funds collaborative research efforts to advance understanding and interventions for autism spectrum disorders.
Improving Mental Health and Engagement in Care Among People with HIV — Implementation Technical Assistance Provider,https://grants.gov/search-results-detail/354787,HHS-HRSA,03/18/2025,,,,,,This proposal provides technical assistance to implement strategies that improve mental health and engagement in care for people with HIV.
Improving Mental Health and Engagement in Care Among People with HIV — Evaluation Provider,https://grants.gov/search-results-detail/354788,HHS-HRSA,03/18/2025,,,,,,This initiative funds evaluation services to assess the effectiveness of mental health and care engagement interventions for people with HIV.
Addressing Stigma to End the HIV Epidemic in the U.S.,https://grants.gov/search-results-detail/354789,HHS-HRSA,03/18/2025,,,,,,"This proposal focuses on strategies to reduce stigma around HIV, thereby improving public awareness and health outcomes."
Cell and Gene Therapy (CGT) Access Model,https://grants.gov/search-results-detail/354875,HHS-CMS,03/14/2025,,,,,,This project aims to develop models that improve patient access to advanced cell and gene therapies.
Office of Elementary & Secondary Education; Overview Information: Race to the Top Fund (ARRA) CFDA 84.395,https://grants.gov/search-results-detail/49325,ED,no data,,,,,,This initiative provides funding to promote innovation and excellence in elementary and secondary education through the Race to the Top Fund.
Sea Grant Programs Only - FY2025 Establishing and Supporting Partnerships with Minority Serving Institutions (MSIs) in Aquaculture: Regional Collaboratives,https://grants.gov/search-results-detail/356917,DOC-DOCNOAAERA,03/19/2025,,,,,,This proposal supports partnerships between Sea Grant programs and minority-serving institutions to advance aquaculture research and education.
Rural Business Development Grant Program,https://grants.gov/search-results-detail/356757,USDA-RBCS,02/28/2025,,,,,,"This program provides grants to support business development in rural areas, stimulating local economic growth and job creation."
National Human Trafficking Hotline (NHTH),https://grants.gov/search-results-detail/355255,HHS-ACF-OTIP,05/02/2025,,,,,,This initiative supports enhancements to the National Human Trafficking Hotline to improve victim support and response services.
Autism Secondary Data Analysis Research (Autism SDAR),https://grants.gov/search-results-detail/355634,HHS-HRSA,02/25/2025,,,,,,This proposal funds secondary data analysis to further understanding of autism and inform effective interventions.
Maternal and Child Health Secondary Data Analysis Research (MCH SDAR),https://grants.gov/search-results-detail/355633,HHS-HRSA,02/25/2025,,,,,,This project supports secondary data analysis research to generate insights for improving maternal and child health policies and practices.
Addiction Medicine Fellowship Program,https://grants.gov/search-results-detail/355773,HHS-HRSA,02/28/2025,,,,,,"This initiative offers fellowship opportunities to train healthcare professionals in addiction medicine, addressing substance use disorders."
Behavioral Health Workforce Education and Training Program for Paraprofessionals,https://grants.gov/search-results-detail/355770,HHS-HRSA,03/18/2025,,,,,,This proposal supports education and training programs designed to prepare paraprofessionals for roles in behavioral health services.
NRL Long Range Broad Agency Announcement (BAA) for Basic and Applied Research,https://grants.gov/search-results-detail/352741,DOD-ONR-NRL,02/28/2025,,,,,,"This proposal invites research proposals for basic and applied research in naval science, supporting long-range planning and technological innovation for the Navy."
"Coastal Habitat Restoration and Resilience Grants for Tribes and Underserved Communities, Under the BIL Round 3",https://grants.gov/search-results-detail/357707,DOC-DOCNOAAERA,05/12/2025,,,,,,This grant program aims to restore coastal habitats and build resilience in tribes and underserved communities through targeted funding under the Bipartisan Infrastructure Law.
Long Range Broad Agency Announcement (BAA) for NSWC Crane,https://grants.gov/search-results-detail/352238,DOD-ONR-SEA-CRANE,no data,,,,,,"This announcement solicits proposals for research and development projects at NSWC Crane, focusing on innovative solutions for naval and marine challenges."
Rural Maternity and Obstetrics Management Strategies Program (Rural MOMS),https://grants.gov/search-results-detail/355371,HHS-HRSA,04/22/2025,,,,,,"This initiative supports strategies to improve maternity and obstetrics management in rural areas, enhancing care for expectant and postpartum mothers."
Street Medicine Interventions for People with HIV who are Unsheltered – Capacity Builder Provider (HRSA-25-055) and Street Medicine Interventions for People with HIV who are Unsheltered – Evaluation Provider (HRSA-25-057),https://grants.gov/search-results-detail/354784,HHS-HRSA,03/11/2025,,,,,,This proposal supports both capacity building and evaluation of street medicine interventions for unsheltered people with HIV to improve access to healthcare.
Street Medicine Interventions for People with HIV who are Unsheltered – Capacity Builder Provider (HRSA-25-055) and Street Medicine Interventions for People with HIV who are Unsheltered – Evaluation Provider (HRSA-25-057),https://grants.gov/search-results-detail/354786,HHS-HRSA,03/11/2025,,,,,,This proposal supports both capacity building and evaluation of street medicine interventions for unsheltered people with HIV to improve access to healthcare.
Environmental System Science (ESS),https://grants.gov/search-results-detail/356977,PAMS-SC,03/13/2025,,,,,,This proposal supports research in environmental system science to enhance our understanding of complex environmental processes.
FY 2023 EDA Public Works and Economic Adjustment Assistance Programs,https://grants.gov/search-results-detail/346815,DOC-EDA,no data,,,,,,This initiative funds public works and economic adjustment assistance to support community recovery and economic development in areas facing challenges.
Regional Resiliency & Vulnerability Assessments for Ocean and Coastal Acidification (RVA OA25),https://grants.gov/search-results-detail/356454,DOC-DOCNOAAERA,03/05/2025,,,,,,"This proposal funds assessments to evaluate regional resiliency and vulnerability to ocean and coastal acidification, guiding mitigation strategies."
NOAA's Transformational Habitat Restoration and Coastal Resilience Grants Under the Bipartisan Infrastructure Law Round 3,https://grants.gov/search-results-detail/357559,DOC-DOCNOAAERA,04/16/2025,,,,,,This grant program supports transformational habitat restoration and coastal resilience projects under the Bipartisan Infrastructure Law.
FY25 Long Range Broad Agency Announcement (BAA) for Navy and Marine Corps Science and Technology,https://grants.gov/search-results-detail/356605,DOD-ONR,09/30/2025,,,,,,This announcement invites proposals for innovative science and technology research to support long-range objectives for the Navy and Marine Corps.
Small Business Innovation Research Program (SBIR) Phase II,https://grants.gov/search-results-detail/355623,HHS-ACL,03/10/2025,,,,,,This program provides Phase II funding to small businesses to advance innovative research and development projects across various fields.
National Leadership Grants for Libraries (2025),https://grants.gov/search-results-detail/355178,IMLS,03/10/2025,,,,,,"This initiative funds leadership grants to support libraries in enhancing services, promoting innovation, and engaging their communities."
Laura Bush 21st Century Librarian Program (2025),https://grants.gov/search-results-detail/355176,IMLS,03/10/2025,,,,,,This proposal supports initiatives to modernize librarian training and equip libraries with 21st-century skills.
Request for Information- Building Resilience amongst Families affected with HIV Activity,https://grants.gov/search-results-detail/337733,USAID-DOM,no data,,,,,,"This RFI seeks input to develop strategies for building resilience among families affected by HIV, informing future support programs."
RFI - Regional Support for Post-Pandemic Equitable Education,https://grants.gov/search-results-detail/350417,USAID,no data,,,,,,This request for information gathers proposals to support regional initiatives for equitable education in the post-pandemic era.
Energy Improvements in Rural or Remote Areas – Fiscal Year 2025 Release,https://grants.gov/search-results-detail/356630,DOE-01,08/28/2025,,,,,,This proposal funds projects aimed at improving energy infrastructure in rural or remote areas to reduce costs and increase efficiency.
Office of Naval Research Science and Technology for Advanced Manufacturing Projects (STAMP),https://grants.gov/search-results-detail/353296,DOD-ONR,03/31/2025,,,,,,This initiative supports advanced manufacturing research projects that leverage innovative science and technology for naval applications.
Measurement Science and Engineering (MSE) Research Grant Programs,https://grants.gov/search-results-detail/352807,DOC-NIST,03/05/2026,,,,,,This program funds research grants in measurement science and engineering to drive innovation in both basic and applied research.
USAID/Colombia Energy for Peace (E4P) - Energy Transition for PDETs,https://grants.gov/search-results-detail/345208,USAID-COL,no data,,,,,,"This proposal supports projects that facilitate an energy transition in Colombia, promoting sustainable development and peace."
BIL - Carbon Utilization Procurement Grants under Bipartisan Infrastructure Law Section 40302,https://grants.gov/search-results-detail/349523,DOE-NETL,04/30/2025,,,,,,This grant program funds projects that promote carbon utilization to reduce greenhouse gas emissions under the Bipartisan Infrastructure Law.
FY 2025 Phase I Release 2,https://grants.gov/search-results-detail/357928,PAMS-SC,02/26/2025,,,,,,"This release invites proposals for Phase I research projects in FY 2025, emphasizing innovative approaches and early-stage development."
APS-OAA-21-00001 Addendum USAID/Guatemala,https://grants.gov/search-results-detail/345755,USAID-GUA,no data,,,,,,"This addendum updates funding opportunities for USAID projects in Guatemala, addressing emerging development challenges."
Inflation Reduction Act - Transmission Siting and Economic Development Program,https://grants.gov/search-results-detail/350022,DOE-NETL,06/30/2025,,,,,,"This proposal funds projects related to transmission siting and economic development, supporting infrastructure improvements under the Inflation Reduction Act."
"Request for Information Economic Growth, Investment and Trade Project",https://grants.gov/search-results-detail/338314,USAID-GUA,no data,,,,,,"This RFI seeks proposals that promote economic growth, investment, and trade to foster a dynamic economic environment."
"Higher Education for Leadership, Innovation, and Exchange (HELIX), A New Partnerships Initiative (NPI)",https://grants.gov/search-results-detail/326056,USAID,04/02/2025,,,,,,"This initiative supports new partnerships in higher education to foster leadership, innovation, and international exchange."
High-Energy-Density Laboratory Plasma Science,https://grants.gov/search-results-detail/358260,PAMS-SC,03/27/2025,,,,,,This proposal funds research in high-energy-density plasma science to advance laboratory experiments and theoretical studies.
Nuclear Data Interagency Working Group (NDIAWG) Research Program,https://grants.gov/search-results-detail/357452,PAMS-SC,03/03/2025,,,,,,"This program supports collaborative research to enhance nuclear data collection, analysis, and sharing across multiple agencies."
Atmospheric System Research (ASR),https://grants.gov/search-results-detail/356957,PAMS-SC,02/27/2025,,,,,,This initiative funds research in atmospheric science to improve weather prediction and advance our understanding of climate dynamics.
Scientific Discovery through Computing (SCiDAC): Partnerships in Basic Energy Sciences,https://grants.gov/search-results-detail/358270,PAMS-SC,04/25/2025,,,,,,"This program supports partnerships in basic energy sciences through advanced computing, driving scientific discovery and innovation."
Research in Basic Plasma Science and Engineering,https://grants.gov/search-results-detail/358199,PAMS-SC,04/04/2025,,,,,,This proposal funds fundamental research in plasma science and engineering to advance both theoretical knowledge and practical applications.
EXPRESS:2025 Exploratory Research for Extreme-Scale Science,https://grants.gov/search-results-detail/358344,PAMS-SC,05/06/2025,,,,,,This initiative invites exploratory research proposals to address extreme-scale scientific challenges with innovative approaches.
Systems Biology Research to Advance Bioenergy Crop Production,https://grants.gov/search-results-detail/357662,PAMS-SC,03/26/2025,,,,,,This proposal supports systems biology research to optimize bioenergy crop production and enhance agricultural sustainability.
"Research, Development, and Training in Isotope Production",https://grants.gov/search-results-detail/358300,PAMS-SC,04/17/2025,,,,,,"This program funds research, development, and training initiatives focused on the production of medical and industrial isotopes."
Resilience Centers,https://grants.gov/search-results-detail/356896,PAMS-SC,02/27/2025,,,,,,This initiative funds the establishment of centers dedicated to enhancing community and infrastructure resilience.
Genomics - Enabled Understanding and Advancing Knowledge on Plant Gene Function(s),https://grants.gov/search-results-detail/356709,PAMS-SC,02/19/2025,,,,,,This proposal supports research leveraging genomics to advance knowledge on plant gene functions and promote agricultural innovation.
Request for public comment on Draft Strategy to Engage Indigenous Peoples Peru/SAR,https://grants.gov/search-results-detail/345440,USAID-PER,no data,,,,,,This RFI seeks public feedback on a draft strategy aimed at enhancing engagement with Indigenous peoples in Peru.
Fiscal Year 2025 National Environmental Information Exchange Network Grant Program Solicitation Notice,https://grants.gov/search-results-detail/358164,EPA,03/24/2025,,,,,,This solicitation notice invites proposals to improve the national environmental information exchange network for better data sharing and decision-making.
Private Facility Research Program,https://grants.gov/search-results-detail/358072,PAMS-SC,04/23/2025,,,,,,"This proposal supports research projects conducted in private facilities, aiming to advance scientific innovation and discovery."
NUCLEAR SCIENCE AND ENGINEERING CONSORTIUM FOR NONPROLIFERATION,https://grants.gov/search-results-detail/357982,DOE-NNSA,04/04/2025,,,,,,This initiative supports a consortium that advances nuclear science and engineering research to enhance nonproliferation efforts.
Early Career Research Program,https://grants.gov/search-results-detail/358302,PAMS-SC,04/22/2025,,,,,,This program provides funding for early career researchers to pursue innovative projects across various scientific disciplines.
